code,branch_code,supplier_code,issue_date,total_cost,total_discount,total_fees,total_amount
4424,1,17,2014-08-20,0,0,0,22.500000
4425,1,17,2014-08-20,0,0,0,16.200000
4426,1,17,2014-08-20,0,0,0,228.600000
4427,1,17,2014-08-20,0,0,0,12.600000
4428,1,316,2014-08-20,0,0,0,1204.890000
4429,1,365,2014-08-21,0,0,0,352.560000
4430,1,76,2014-08-21,0,0,0,48.010000
4431,1,17,2014-08-21,0,0,0,2.160000
4432,1,17,2014-08-21,0,0,0,537.300000
4433,1,17,2014-08-21,0,0,0,9.000000
4434,1,21,2014-08-21,0,0,0,770.810000
4435,1,17,2014-08-21,0,0,0,10.800000
4436,1,76,2014-08-21,0,0,0,1.800000
4437,1,76,2014-08-21,0,0,0,14.750000
4438,1,17,2014-08-22,0,0,0,117.000000
4439,1,105,2014-08-22,0,0,0,11.280000
4440,1,150,2014-08-22,0,0,0,148.000000
4441,1,21,2014-08-22,0,0,0,665.130000
4442,1,139,2014-08-22,0,0,0,54.000000
4443,1,17,2014-08-22,0,0,0,75.600000
4444,1,17,2014-08-22,0,0,0,23.400000
4445,1,17,2014-08-22,0,0,0,17.100000
4446,1,17,2014-08-22,0,0,0,9.000000
4447,1,76,2014-08-22,0,0,0,26.100000
4448,1,17,2014-08-23,0,0,0,85.500000
4449,1,17,2014-08-23,0,0,0,58.500000
4450,1,17,2014-08-25,0,0,0,3.690000
4451,1,132,2014-08-25,0,0,0,239.620000
4452,1,70,2014-08-25,0,0,0,148.500000
4453,1,374,2014-08-25,0,0,0,90.000000
4454,1,17,2014-08-25,0,0,0,36.180000
4455,1,322,2014-08-25,0,0,0,114.960000
4456,1,380,2014-08-26,0,0,0,180.000000
4457,1,64,2014-08-26,0,0,0,156.000000
4458,1,91,2014-08-26,0,0,0,16.200000
4459,1,17,2014-08-26,0,0,0,13.500000
4461,1,17,2014-08-26,0,0,0,33.300000
4462,1,17,2014-08-26,0,0,0,83.700000
4463,1,17,2014-08-26,0,0,0,37.800000
4464,1,322,2014-08-26,0,0,0,55.040000
4465,1,17,2014-08-26,0,0,0,86.400000
4466,1,17,2014-08-26,0,0,0,12.600000
4467,1,17,2014-08-27,0,0,0,108.900000
4468,1,104,2014-08-27,0,0,0,67.500000
4469,1,132,2014-08-27,0,0,0,13.610000
4470,1,17,2014-08-27,0,0,0,13.500000
4471,1,17,2014-08-27,0,0,0,86.400000
4472,1,64,2014-08-28,0,0,0,266.000000
4473,1,17,2014-08-28,0,0,0,3.600000
4474,1,17,2014-08-28,0,0,0,11.700000
4475,1,76,2014-08-28,0,0,0,2.610000
4476,1,17,2014-08-28,0,0,0,17.100000
4477,1,17,2014-08-28,0,0,0,23.400000
4478,1,17,2014-08-28,0,0,0,10.800000
4479,1,132,2014-08-29,0,0,0,259.200000
4481,1,17,2014-08-29,0,0,0,29.700000
4482,1,279,2014-08-29,0,0,0,0.010000
4483,1,381,2014-08-29,0,0,0,547.780000
4484,1,17,2014-08-30,0,0,0,4.860000
4485,1,17,2014-08-30,0,0,0,63.000000
4486,1,17,2014-08-30,0,0,0,9.900000
4487,1,17,2014-08-30,0,0,0,21.600000
4488,1,23,2014-08-30,0,0,0,45.000000
4489,1,17,2014-08-30,0,0,0,22.500000
4490,1,17,2014-08-30,0,0,0,121.500000
4491,1,17,2014-09-01,0,0,0,14.400000
4492,1,76,2014-09-01,0,0,0,20.500000
4493,1,17,2014-09-01,0,0,0,119.700000
4494,1,17,2014-09-01,0,0,0,10.800000
4495,1,17,2014-09-01,0,0,0,27.000000
4496,1,17,2014-09-01,0,0,0,88.200000
4497,1,132,2014-09-01,0,0,0,1256.710000
4498,1,17,2014-09-01,0,0,0,36.000000
4499,1,17,2014-09-01,0,0,0,9.000000
4500,1,17,2014-09-02,0,0,0,211.500000
4501,1,17,2014-09-02,0,0,0,10.800000
4502,1,17,2014-09-02,0,0,0,40.500000
4503,1,76,2014-09-02,0,0,0,17.460000
4504,1,17,2014-09-03,0,0,0,3.600000
4505,1,17,2014-09-03,0,0,0,52.200000
4506,1,91,2014-09-03,0,0,0,32.400000
4507,1,17,2014-09-03,0,0,0,41.400000
4508,1,17,2014-09-03,0,0,0,57.600000
4509,1,17,2014-09-03,0,0,0,0.540000
4510,1,17,2014-09-04,0,0,0,60.300000
4511,1,17,2014-09-04,0,0,0,72.000000
4512,1,17,2014-09-05,0,0,0,9.270000
4513,1,152,2014-09-05,0,0,0,825.800000
4514,1,71,2014-09-05,0,0,0,170.000000
4515,1,17,2014-09-05,0,0,0,45.000000
4516,1,53,2014-09-05,0,0,0,37.280000
4517,1,17,2014-09-05,0,0,0,3.600000
4518,1,17,2014-09-05,0,0,0,106.200000
4519,1,17,2014-09-05,0,0,0,4.500000
4520,1,17,2014-09-05,0,0,0,6.300000
4521,1,17,2014-09-05,0,0,0,32.400000
4522,1,17,2014-09-05,0,0,0,7.200000
4523,1,119,2014-09-06,0,0,0,2382.660000
4524,1,17,2014-09-06,0,0,0,28.800000
4525,1,17,2014-09-06,0,0,0,1.350000
4526,1,316,2014-09-08,0,0,0,1233.380000
4527,1,17,2014-09-08,0,0,0,121.500000
4528,1,17,2014-09-08,0,0,0,73.800000
4529,1,150,2014-09-08,0,0,0,130.000000
4530,1,316,2014-09-08,0,0,0,720.510000
4531,1,17,2014-09-08,0,0,0,62.100000
4532,1,17,2014-09-08,0,0,0,29.700000
4533,1,150,2014-09-09,0,0,0,122.000000
4534,1,17,2014-09-09,0,0,0,13.500000
4535,1,128,2014-09-09,0,0,0,100.000000
4536,1,17,2014-09-09,0,0,0,54.000000
4537,1,17,2014-09-09,0,0,0,54.000000
4538,1,91,2014-09-09,0,0,0,81.790000
4539,1,17,2014-09-09,0,0,0,31.500000
4540,1,91,2014-09-09,0,0,0,1.800000
4541,1,91,2014-09-09,0,0,0,1.800000
4542,1,17,2014-09-09,0,0,0,21.600000
4543,1,17,2014-09-09,0,0,0,6.300000
4544,1,17,2014-09-09,0,0,0,39.600000
4545,1,17,2014-09-10,0,0,0,3.600000
4546,1,17,2014-09-10,0,0,0,49.500000
4547,1,17,2014-09-10,0,0,0,124.200000
4548,1,17,2014-09-10,0,0,0,40.500000
4549,1,17,2014-09-10,0,0,0,9.900000
4550,1,17,2014-09-10,0,0,0,29.700000
4551,1,17,2014-09-10,0,0,0,7.200000
4552,1,375,2014-09-10,0,0,0,439.920000
4553,1,335,2014-09-10,0,0,0,257.000000
4554,1,17,2014-09-10,0,0,0,10.800000
4555,1,17,2014-09-10,0,0,0,76.500000
4556,1,17,2014-09-10,0,0,0,166.500000
4557,1,17,2014-09-10,0,0,0,378.000000
4558,1,17,2014-09-10,0,0,0,81.000000
4559,1,17,2014-09-10,0,0,0,17.370000
4560,1,17,2014-09-10,0,0,0,39.600000
4561,1,17,2014-09-10,0,0,0,1.260000
4562,1,17,2014-09-10,0,0,0,3.960000
4563,1,17,2014-09-11,0,0,0,1.260000
4564,1,17,2014-09-11,0,0,0,99.000000
4565,1,64,2014-09-11,0,0,0,791.000000
4566,1,53,2014-09-11,0,0,0,72.420000
4567,1,91,2014-09-11,0,0,0,0.260000
4568,1,76,2014-09-11,0,0,0,7.740000
4569,1,21,2014-09-11,0,0,0,1383.290000
4570,1,17,2014-09-11,0,0,0,53.100000
4571,1,17,2014-09-12,0,0,0,70.200000
4572,1,53,2014-09-12,0,0,0,106.200000
4573,1,17,2014-09-12,0,0,0,108.000000
4575,1,17,2014-09-12,0,0,0,54.000000
4576,1,17,2014-09-12,0,0,0,92.700000
4577,1,70,2014-09-12,0,0,0,26.280000
4578,1,76,2014-09-12,0,0,0,3.050000
4579,1,121,2014-09-12,0,0,0,108.000000
4580,1,76,2014-09-12,0,0,0,40.070000
4581,1,21,2014-09-12,0,0,0,1108.790000
4583,1,71,2014-09-13,0,0,0,220.000000
4584,1,71,2014-09-13,0,0,0,170.000000
4585,1,17,2014-09-13,0,0,0,4.950000
4586,1,64,2014-09-13,0,0,0,160.000000
4587,1,17,2014-09-13,0,0,0,13.500000
4588,1,316,2014-09-13,0,0,0,1367.110000
4589,1,17,2014-09-15,0,0,0,21.600000
4590,1,76,2014-09-15,0,0,0,101.870000
4591,1,17,2014-09-15,0,0,0,40.500000
4592,1,17,2014-09-15,0,0,0,4.410000
4593,1,17,2014-09-15,0,0,0,88.200000
4594,1,17,2014-09-15,0,0,0,15.300000
4595,1,64,2014-09-15,0,0,0,188.000000
4596,1,17,2014-09-15,0,0,0,21.600000
4597,1,91,2014-09-15,0,0,0,12.150000
4598,1,17,2014-09-15,0,0,0,23.400000
4599,1,150,2014-09-15,0,0,0,10.000000
4600,1,76,2014-09-15,0,0,0,87.210000
4601,1,17,2014-09-15,0,0,0,3.600000
4602,1,17,2014-09-16,0,0,0,30.600000
4603,1,76,2014-09-16,0,0,0,73.040000
4604,1,91,2014-09-16,0,0,0,185.400000
4605,1,17,2014-09-16,0,0,0,3.600000
4606,1,17,2014-09-16,0,0,0,198.000000
4608,1,385,2014-09-16,0,0,0,500.000000
4609,1,86,2014-09-16,0,0,0,500.000000
4610,1,196,2014-09-16,0,0,0,12.000000
4611,1,17,2014-09-16,0,0,0,19.800000
4612,1,196,2014-09-16,0,0,0,3.000000
4613,1,17,2014-09-16,0,0,0,10.800000
4614,1,17,2014-09-16,0,0,0,94.500000
4615,1,17,2014-09-16,0,0,0,25.650000
4616,1,17,2014-09-17,0,0,0,3.600000
4617,1,17,2014-09-17,0,0,0,5.400000
4618,1,17,2014-09-17,0,0,0,1.080000
