branch_code,payment_method_code,date,total_issued,total_paid
1,5,2026-01-08,0.000000,79.120000
1,5,2026-01-12,0.000000,375.820000
1,5,2026-01-14,0.000000,545.040000
1,5,2026-01-19,0.000000,564.340000
1,5,2026-01-22,0.000000,2699.970000
1,5,2026-01-30,0.000000,429.130000
1,5,2026-02-02,0.000000,481.640000
1,5,2026-02-05,0.000000,514.280000
1,5,2026-02-09,0.000000,718.760000
1,5,2026-02-13,0.000000,200.000000
1,5,2026-02-26,0.000000,909.160000
1,5,2026-03-04,0.000000,148.350000
1,5,2026-03-11,0.000000,296.700000
1,5,2026-03-16,0.000000,275.600000
1,5,2026-03-19,0.000000,187.910000
1,5,2026-03-20,0.000000,293.730000
1,5,2026-03-23,0.000000,2967.000000
1,5,2026-03-24,0.000000,602.760000
1,5,2026-03-25,0.000000,1018.170000
1,5,2026-04-09,0.000000,1196.960000
1,5,2026-04-17,0.000000,98.900000
1,5,2026-04-20,0.000000,4620.790000
1,5,2026-04-28,0.000000,173.000000
1,5,2026-04-29,0.000000,459.110000
1,5,2026-05-12,0.000000,173.000000
1,6,2009-04-27,0.000000,300.000000
1,6,2009-06-17,0.000000,600.000000
1,6,2009-08-03,0.000000,300.000000
1,6,2011-05-10,0.000000,533.940000
1,6,2011-05-24,0.000000,533.940000
1,6,2011-06-21,0.000000,230.000000
1,6,2011-06-22,0.000000,425.000000
1,6,2011-07-01,0.000000,315.000000
1,6,2011-07-11,0.000000,533.940000
1,6,2011-08-11,0.000000,315.000000
1,6,2011-09-09,0.000000,315.000000
1,6,2011-09-16,0.000000,316.000000
1,6,2011-09-21,0.000000,3664.330000
1,6,2011-10-05,0.000000,415.660000
1,6,2011-10-06,0.000000,505.000000
1,6,2011-10-11,0.000000,406.330000
1,6,2011-10-18,0.000000,316.000000
1,6,2011-10-19,0.000000,766.340000
1,6,2011-10-21,0.000000,3664.330000
1,6,2011-10-31,0.000000,415.660000
1,6,2011-11-01,0.000000,382.380000
1,6,2011-11-10,0.000000,360.000000
1,6,2011-11-17,0.000000,316.000000
1,6,2011-11-22,0.000000,3664.340000
1,6,2011-12-01,0.000000,460.000000
1,6,2011-12-05,0.000000,192.380000
1,6,2011-12-06,0.000000,415.660000
1,6,2011-12-09,0.000000,190.000000
1,6,2011-12-12,0.000000,1157.280000
1,6,2011-12-13,0.000000,4338.800000
1,6,2011-12-16,0.000000,316.000000
1,6,2011-12-21,0.000000,360.000000
1,6,2011-12-30,0.000000,460.000000
1,6,2012-01-03,0.000000,608.040000
1,6,2012-01-09,0.000000,190.000000
1,6,2012-01-10,0.000000,1157.280000
1,6,2012-01-11,0.000000,2967.000000
1,6,2012-01-16,0.000000,460.000000
1,6,2012-01-17,0.000000,716.000000
1,6,2012-01-20,0.000000,619.750000
